what,kind,bundleId,bundleVersion,description,time
error,log,,,"An internal error has occurred.",1328725111199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725111205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725112754
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1328725114070
error,log,,,"Unhandled event loop exception",1328725116612
error,log,,,"Unhandled event loop exception",1328725116639
error,log,,,"Unhandled event loop exception",1328725118106
error,log,,,"Unhandled event loop exception",1328725118115
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1328725118116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725118179
error,log,,,"Unhandled event loop exception",1328725118181
error,log,,,"Unhandled event loop exception",1328725119481
error,log,,,"Unhandled event loop exception",1328725119482
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1328725121394
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1328725121535
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1328725121546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328725121588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725121655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725121717
error,log,,,"An internal error has occurred.",1328725121856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725122643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725122818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725131722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725202376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725288613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725525261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725538475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725540144
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328725541143
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328725575900
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328725612074
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328725676347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725680622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725682456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725690328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725712632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725719145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725720242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328725720555
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328725720680
